walletAddress,chain,amount,currency
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,0.0,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,0.5,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,1.0,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,1.5,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,2.0,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,2.5,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,3.0,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,3.5,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,4.0,ETH
0x0123456789abcdef101112131415161718191a1b1c1d1e1f2021222324252627,Ethereum,4.5,ETH
